100 886
84 35 9
21 26 9
81 51 9
60 23 9
58 38 5
3 21 3
28 46 18
77 67 3
18 11 16
2 81 15
52 75 6
10 62 11
60 29 12
94 65 14
39 73 10
75 1 5
32 4 14
86 27 15
58 55 14
79 75 19
15 11 8
45 10 3
94 49 15
64 66 5
88 27 2
52 35 3
44 56 9
77 30 16
95 91 9
13 42 1
91 38 19
75 16 12
87 53 5
2 62 12
2 33 2
3 77 2
33 11 6
69 30 1
55 83 9
78 57 11
31 64 20
7 16 9
79 89 7
2 91 5
55 72 1
11 24 11
52 18 20
81 57 12
22 55 20
33 4 17
16 74 19
7 74 17
91 88 12
22 78 19
87 9 15
4 59 1
92 90 12
86 26 15
38 34 13
17 89 19
60 42 20
0 36 12
59 57 7
67 10 15
53 34 6
98 61 20
11 50 8
5 2 7
83 65 16
95 27 8
29 33 16
98 91 13
21 86 15
64 35 14
14 50 2
97 6 3
18 30 4
93 92 15
59 63 16
86 59 9
96 4 20
24 18 4
50 4 17
86 34 16
22 86 7
83 60 7
37 90 17
78 3 4
45 58 13
69 73 5
81 79 16
72 66 9
39 9 2
48 71 13
46 95 10
60 99 8
29 46 12
24 41 13
15 16 6
59 87 19
69 59 16
64 36 13
61 11 13
35 91 14
10 13 6
29 55 3
30 51 3
76 67 6
98 64 15
61 45 11
58 82 20
38 79 15
16 54 16
20 45 17
67 4 15
6 14 16
68 55 6
51 2 4
7 90 10
99 9 15
30 75 14
78 79 3
49 91 11
50 80 16
22 74 14
3 17 5
21 31 7
65 77 15
4 15 1
3 53 18
71 22 17
91 86 20
4 53 2
40 98 3
26 15 5
7 39 9
29 19 20
64 73 14
31 29 8
7 86 8
75 23 16
70 51 3
47 4 1
2 14 14
36 38 9
63 18 11
61 17 20
62 61 1
92 95 11
8 63 3
49 43 5
54 13 8
77 27 4
11 42 13
95 56 8
56 19 14
88 8 20
74 67 14
86 3 6
57 72 12
31 43 17
29 3 7
24 64 12
38 77 17
29 83 6
20 52 16
90 26 9
18 14 11
58 7 15
5 14 9
83 49 5
92 68 12
76 90 4
48 68 13
66 2 13
42 32 3
23 85 6
40 4 2
59 1 8
37 49 7
45 86 13
79 17 8
47 38 8
45 0 20
50 57 11
59 72 3
23 22 11
30 14 16
51 22 8
77 73 17
35 24 10
98 51 13
21 50 18
18 57 6
56 22 14
82 51 8
99 93 11
67 50 3
30 82 16
28 93 19
53 28 11
64 9 2
34 87 4
32 40 8
53 49 8
37 51 20
9 72 1
57 62 6
30 56 8
5 82 15
76 78 6
59 37 3
22 17 4
75 67 11
82 47 17
47 51 3
16 22 10
37 34 18
22 10 14
77 20 17
13 93 19
9 57 3
74 36 6
57 26 14
99 43 14
70 31 11
25 89 2
38 72 3
63 84 18
96 69 8
29 21 20
91 60 8
71 3 16
36 69 12
16 85 1
97 64 16
78 4 17
89 19 9
3 38 8
58 56 16
66 94 8
31 53 12
27 31 1
93 91 4
79 97 4
19 63 17
96 78 6
66 95 16
85 5 20
2 50 2
56 23 11
81 52 17
23 94 6
17 72 16
93 78 20
22 44 5
86 94 20
94 7 6
74 20 16
4 87 3
4 72 7
69 58 11
62 47 6
3 9 2
70 60 18
84 10 13
72 69 17
15 21 16
59 22 16
85 39 15
31 79 12
6 27 6
30 19 5
29 84 12
61 55 16
25 38 17
36 25 14
46 57 19
21 55 15
29 38 16
41 0 3
89 52 7
12 10 13
23 28 16
85 34 13
45 38 14
11 28 6
35 3 4
47 80 18
43 10 19
53 17 2
12 34 1
40 84 20
22 25 15
67 31 4
76 74 8
59 30 1
18 89 2
51 23 15
14 23 20
18 73 12
67 78 2
76 51 12
35 29 11
36 35 19
64 61 17
15 48 12
98 53 1
84 30 5
32 54 3
80 21 18
87 45 13
83 57 17
39 41 19
81 49 18
27 55 12
47 34 6
19 12 12
54 93 15
48 70 17
59 41 7
87 77 4
39 49 19
14 90 19
9 63 5
15 56 8
54 62 6
85 64 16
36 12 8
58 75 2
6 45 4
19 35 10
78 66 2
42 73 11
45 17 5
44 90 9
59 53 12
74 5 1
48 26 17
8 9 17
36 94 20
54 66 16
41 69 11
0 89 7
96 38 6
59 13 2
43 86 17
42 82 18
99 31 18
58 0 4
93 95 12
56 17 9
66 13 3
99 67 13
8 34 12
0 4 3
59 5 3
32 55 14
93 63 15
93 34 5
30 3 1
32 22 19
14 82 15
59 81 1
98 32 5
8 60 2
33 72 6
64 0 13
9 82 9
64 17 14
68 12 7
66 31 7
93 22 2
80 54 16
79 36 11
1 92 18
83 59 8
93 84 6
64 30 9
82 84 5
19 59 20
48 61 3
64 12 17
58 10 15
82 28 12
93 38 8
96 66 1
50 48 17
74 88 18
90 99 13
43 68 16
20 1 15
23 89 16
89 54 14
48 7 6
97 99 1
33 94 6
54 75 14
8 52 19
34 83 15
50 38 9
85 35 18
26 84 7
34 65 5
71 73 3
20 62 16
20 59 17
7 14 16
2 46 13
56 99 8
38 31 2
82 71 10
79 61 4
22 54 1
93 9 18
93 31 7
80 79 5
42 0 14
58 48 12
73 96 16
35 97 18
37 85 7
65 18 6
29 5 4
12 84 16
82 3 12
76 62 20
33 63 15
83 17 4
66 9 2
4 8 13
49 62 12
23 57 3
68 64 9
83 3 8
46 58 10
66 53 13
72 60 14
84 43 16
89 76 14
96 22 6
96 82 16
42 58 14
78 54 5
26 10 10
91 65 7
31 48 13
16 21 8
47 65 2
77 24 8
75 28 2
94 5 12
78 81 13
8 98 1
57 5 15
52 88 14
83 64 10
4 35 10
31 6 8
51 48 11
73 91 15
0 82 13
72 40 8
51 58 8
57 6 8
97 56 7
67 12 5
60 48 3
60 63 17
2 94 7
92 86 17
19 55 16
28 71 5
77 11 16
76 8 2
65 50 12
1 85 1
9 28 17
29 4 3
43 34 1
80 94 10
56 98 19
39 91 13
95 50 19
65 84 13
39 54 7
6 44 6
39 29 4
22 98 20
33 14 6
28 77 12
28 81 11
67 0 14
46 64 12
90 96 6
51 97 15
85 69 19
49 8 5
34 30 14
0 32 13
31 37 8
86 78 16
32 19 10
77 19 5
6 13 8
51 29 14
58 8 6
77 37 11
47 63 2
67 69 20
23 68 11
24 79 10
98 79 20
59 84 12
40 38 5
31 69 14
94 28 8
15 36 9
40 18 5
99 86 15
1 12 11
13 45 6
12 69 15
61 72 12
50 81 16
14 27 9
95 94 4
9 29 13
61 95 13
93 81 10
63 4 20
44 9 17
1 45 3
69 51 12
49 79 18
37 16 2
58 86 17
83 31 2
8 83 9
75 62 17
88 86 8
12 71 20
70 57 11
0 48 3
0 27 18
36 44 10
9 90 20
81 0 4
17 14 9
29 53 5
10 83 15
11 72 16
30 90 14
53 47 15
36 91 10
30 4 3
75 87 16
30 20 10
69 87 16
68 24 18
18 85 20
91 23 3
36 34 15
72 48 19
48 83 13
48 64 11
4 1 5
