10000 218829
320 308 19
321 170 8
322 21 18
323 216 1
324 150 4
325 163 9
326 117 16
327 63 13
328 250 18
329 246 5
330 45 6
331 26 2
332 221 1
333 290 6
334 241 13
335 273 20
336 95 3
337 48 7
338 162 14
339 310 9
340 290 2
341 235 17
342 183 19
343 22 15
344 320 10
345 25 9
346 231 16
347 302 9
348 216 3
349 72 15
350 114 6
351 176 1
352 249 10
353 258 15
354 196 5
355 239 18
356 260 16
357 35 11
358 93 14
359 149 15
360 28 20
361 118 13
362 272 20
363 337 9
364 257 8
365 322 4
366 280 18
367 27 19
368 16 15
369 47 15
370 68 18
371 325 8
372 223 16
373 72 20
374 130 3
375 338 11
376 134 12
377 165 2
378 80 19
379 242 5
380 279 3
381 378 18
382 264 16
383 108 5
384 52 3
385 79 12
386 227 10
387 136 15
388 24 14
389 62 19
390 169 2
391 184 7
392 190 11
393 157 19
394 199 12
395 99 18
396 379 1
397 177 9
398 300 5
399 230 8
400 134 2
401 76 2
402 133 9
403 330 10
404 375 19
405 253 5
406 117 9
407 311 17
408 371 13
409 128 1
410 289 16
411 339 19
412 144 6
413 245 4
414 3 5
415 384 20
416 70 11
417 29 17
418 141 14
419 180 2
420 183 3
421 415 9
422 114 18
423 294 7
424 77 6
425 119 16
426 180 19
427 77 17
428 315 9
429 293 8
430 400 11
431 238 20
432 212 3
433 278 4
434 126 18
435 69 14
436 213 14
437 369 1
438 119 17
439 300 5
440 13 17
441 367 7
442 126 8
443 389 16
444 300 2
445 136 9
446 391 12
447 267 1
448 271 9
449 227 19
450 124 4
451 213 3
452 336 7
453 136 18
454 237 3
455 23 12
456 395 3
457 217 15
458 432 16
459 293 11
460 302 11
461 45 10
462 425 15
463 161 14
464 119 14
465 339 16
466 67 5
467 417 5
468 185 7
469 334 15
470 148 16
471 177 20
472 95 19
473 352 12
474 233 6
475 335 3
476 178 10
477 5 19
478 313 5
479 117 5
480 430 6
481 257 8
482 357 13
483 122 3
484 356 17
485 208 18
486 324 16
487 463 12
488 216 14
489 4 1
490 451 19
491 324 16
492 436 12
493 469 14
494 316 6
495 54 3
496 306 12
497 19 14
498 495 4
499 68 2
500 200 18
501 119 12
502 463 10
503 91 1
504 303 4
505 353 19
506 39 11
507 265 5
508 215 8
509 217 9
510 49 10
511 383 3
512 451 5
513 505 16
514 352 1
515 501 5
516 218 13
517 339 20
518 227 18
519 381 3
520 35 20
521 110 5
522 8 17
523 367 19
524 167 15
525 336 12
526 246 12
527 449 19
528 114 8
529 486 15
530 414 20
531 132 13
532 118 12
533 162 7
534 312 2
535 115 13
536 309 19
537 504 13
538 369 10
539 342 1
540 362 20
541 497 17
542 415 20
543 319 7
544 303 11
545 499 14
546 512 6
547 403 2
548 423 12
549 410 8
550 455 3
551 533 4
552 349 16
553 229 8
554 513 10
555 153 16
556 58 12
557 175 2
558 102 15
559 26 16
560 553 15
561 180 2
562 519 7
563 360 19
564 294 4
565 363 13
566 344 20
567 81 16
568 482 20
569 193 17
570 394 20
571 452 16
572 544 19
573 212 11
574 538 17
575 6 2
576 402 15
577 331 3
578 82 7
579 301 1
580 366 18
581 42 11
582 346 19
583 1 4
584 45 19
585 322 10
586 263 5
587 139 20
588 135 13
589 550 9
590 189 10
591 85 9
592 311 13
593 582 16
594 489 1
595 49 8
596 313 7
597 596 5
598 417 13
599 258 17
600 565 20
601 543 19
602 297 20
603 92 5
604 484 13
605 466 12
606 232 1
607 555 16
608 427 14
609 63 14
610 575 10
611 336 3
612 412 2
613 152 12
614 74 17
615 342 6
616 283 4
617 553 5
618 500 2
619 159 11
620 578 3
621 404 19
622 295 15
623 150 15
624 27 1
625 370 17
626 465 5
627 355 7
628 346 16
629 306 16
630 155 12
631 303 4
632 471 11
633 331 20
634 551 15
635 501 1
636 266 16
637 338 19
638 137 3
639 223 12
640 570 11
641 282 16
642 432 15
643 396 4
644 517 5
645 26 12
646 446 6
647 333 15
648 120 16
649 356 4
650 603 18
651 182 3
652 584 12
653 317 20
654 454 14
655 501 1
656 406 3
657 365 16
658 490 8
659 565 9
660 9 20
661 217 5
662 167 14
663 319 10
664 39 8
665 436 8
666 113 4
667 179 11
668 319 3
669 144 5
670 180 3
671 620 14
672 64 19
673 156 4
674 492 11
675 361 18
676 395 18
677 348 3
678 665 1
679 367 18
680 340 11
681 629 16
682 378 9
683 249 3
684 425 4
685 244 15
686 105 8
687 137 8
688 311 12
689 617 13
690 675 17
691 259 17
692 163 14
693 679 9
694 477 15
695 552 14
696 518 4
697 621 18
698 672 12
699 231 12
700 131 4
701 561 10
702 47 7
703 47 7
704 188 5
705 441 19
706 155 17
707 169 4
708 469 1
709 211 16
710 520 7
711 591 19
712 14 11
713 443 8
714 670 6
715 339 9
716 175 10
717 653 13
718 534 12
719 339 11
720 383 16
721 234 9
722 456 13
723 337 3
724 392 3
725 582 3
726 633 6
727 138 1
728 44 2
729 579 2
730 317 18
731 588 7
732 537 7
733 469 20
734 151 8
735 417 19
736 335 6
737 568 20
738 252 18
739 104 20
740 732 3
741 236 3
742 80 11
743 602 16
744 351 3
745 397 18
746 149 17
747 627 5
748 533 19
749 726 13
750 671 11
751 684 19
752 221 6
753 555 3
754 227 3
755 291 8
756 431 14
757 683 8
758 240 3
759 649 3
760 255 6
761 227 9
762 697 19
763 288 9
764 158 5
765 669 2
766 688 8
767 274 13
768 537 13
769 552 8
770 663 10
771 33 18
772 7 20
773 670 13
774 480 18
775 562 6
776 222 17
777 437 6
778 218 15
779 719 12
780 501 2
781 515 19
782 297 20
783 241 3
784 34 18
785 428 16
786 55 11
787 10 8
788 456 8
789 132 3
790 226 3
791 784 18
792 266 18
793 325 11
794 531 18
795 750 17
796 513 14
797 242 10
798 243 3
799 502 17
800 505 18
801 267 14
802 577 4
803 693 11
804 627 11
805 445 10
806 801 19
807 147 3
808 107 5
809 670 17
810 809 8
811 373 2
812 743 12
813 33 8
814 705 4
815 725 1
816 573 17
817 222 12
818 352 6
819 184 18
820 784 16
821 41 5
822 106 10
823 812 9
824 403 19
825 97 19
826 186 16
827 609 15
828 283 12
829 24 12
830 187 12
831 426 8
832 335 15
833 638 14
834 229 4
835 719 18
836 35 20
837 181 17
838 512 19
839 412 7
840 735 16
841 650 6
842 17 3
843 191 2
844 648 4
845 440 4
846 318 2
847 716 17
848 767 15
849 443 18
850 322 16
851 840 19
852 123 3
853 447 5
854 90 15
855 34 6
856 778 15
857 208 6
858 353 20
859 738 1
860 115 18
861 728 5
862 439 3
863 415 10
864 636 13
865 831 10
866 358 11
867 265 8
868 73 4
869 660 2
870 230 1
871 826 5
872 58 13
873 304 10
874 530 16
875 571 16
876 711 3
877 743 6
878 139 15
879 663 20
880 791 7
881 852 6
882 278 20
883 290 10
884 600 12
885 181 16
886 273 6
887 659 17
888 424 6
889 153 7
890 357 19
891 496 16
892 274 10
893 395 16
894 19 1
895 757 10
896 224 7
897 250 11
898 798 4
899 763 16
900 385 15
901 704 6
902 764 14
903 820 2
904 179 9
905 685 16
906 499 4
907 732 1
908 805 4
909 251 19
910 203 18
911 719 13
912 374 1
913 238 5
914 719 3
915 225 15
916 663 12
917 260 17
918 816 8
919 500 11
920 660 19
921 19 2
922 115 4
923 508 15
924 299 20
925 204 2
926 162 14
927 513 8
928 314 2
929 730 12
930 171 16
931 403 11
932 104 16
933 260 5
934 451 17
935 675 9
936 51 19
937 695 1
938 668 11
939 813 13
940 914 3
941 78 2
942 613 8
943 911 13
944 75 18
945 666 7
946 208 20
947 780 19
948 169 10
949 628 13
950 832 8
951 37 12
952 719 15
953 383 20
954 252 12
955 295 11
956 822 17
957 192 14
958 356 5
959 417 9
960 10 17
961 805 2
962 530 10
963 345 8
964 225 4
965 799 10
966 68 15
967 171 19
968 865 4
969 39 16
970 766 8
971 315 3
972 261 6
973 239 16
974 210 13
975 777 19
976 359 2
977 817 6
978 789 20
979 101 10
980 518 7
981 202 3
982 799 11
983 201 18
984 824 5
985 835 9
986 561 14
987 719 15
988 25 1
989 269 5
990 68 7
991 434 9
992 433 17
993 5 15
994 231 15
995 576 16
996 389 10
997 718 1
998 425 7
999 675 19
1000 5 20
1001 316 2
1002 589 7
1003 641 3
1004 170 18
1005 984 12
1006 547 19
1007 838 4
1008 921 16
1009 721 17
1010 96 18
1011 931 7
1012 225 3
1013 167 8
1014 770 9
1015 469 12
1016 136 5
1017 792 20
1018 653 3
1019 921 16
1020 193 14
1021 361 15
1022 489 15
1023 553 11
1024 15 1
1025 82 3
1026 496 15
1027 314 15
1028 663 2
1029 330 19
1030 222 5
1031 607 1
1032 177 14
1033 13 6
1034 910 1
1035 947 10
1036 950 9
1037 922 18
1038 625 9
1039 783 7
1040 546 12
1041 227 14
1042 472 2
1043 190 15
1044 1019 20
1045 311 11
1046 503 13
1047 1024 4
1048 1031 8
1049 826 5
1050 685 14
1051 537 5
1052 660 11
1053 188 3
1054 532 5
1055 129 20
1056 1027 6
1057 710 17
1058 592 9
1059 722 3
1060 504 13
1061 1028 20
1062 866 19
1063 489 15
1064 154 6
1065 242 9
1066 887 14
1067 335 8
1068 932 7
1069 482 11
1070 48 17
1071 440 9
1072 801 11
1073 489 13
1074 789 18
1075 25 9
1076 671 9
1077 634 1
1078 381 15
1079 174 10
1080 155 10
1081 22 14
1082 192 8
1083 212 3
1084 646 18
1085 224 1
1086 749 6
1087 168 15
1088 621 15
1089 373 14
1090 1008 13
1091 78 15
1092 35 15
1093 912 19
1094 624 6
1095 660 18
1096 562 5
1097 719 15
1098 85 5
1099 793 12
1100 273 3
1101 975 15
1102 490 3
1103 1090 1
1104 375 17
1105 137 15
1106 183 3
1107 1023 13
1108 457 11
1109 453 5
1110 546 20
1111 820 19
1112 399 2
1113 820 12
1114 237 20
1115 621 4
1116 270 15
1117 294 14
1118 971 18
1119 631 12
1120 46 1
1121 1074 5
1122 851 20
1123 775 1
1124 465 19
1125 173 12
1126 635 17
1127 713 16
1128 809 18
1129 140 6
1130 196 6
1131 546 6
1132 413 6
1133 1113 13
1134 140 16
1135 777 4
1136 115 17
1137 1044 20
1138 419 11
1139 587 4
1140 14 9
1141 654 4
1142 389 4
1143 806 10
1144 577 5
1145 328 13
1146 657 3
1147 183 4
1148 105 3
1149 213 5
1150 238 4
1151 940 8
1152 422 19
1153 1079 7
1154 901 13
1155 737 1
1156 509 5
1157 984 16
1158 445 17
1159 981 17
1160 1102 6
1161 705 9
1162 645 6
1163 904 3
1164 403 3
1165 663 14
1166 1134 15
1167 24 5
1168 470 19
1169 722 7
1170 160 10
1171 778 6
1172 974 12
1173 436 13
1174 218 2
1175 382 8
1176 1153 2
1177 1107 5
1178 609 16
1179 910 2
1180 394 6
1181 766 19
1182 361 13
1183 708 19
1184 852 18
1185 745 15
1186 242 9
1187 447 4
1188 252 10
1189 998 11
1190 194 16
1191 174 12
1192 730 8
1193 663 9
1194 158 17
1195 494 14
1196 1183 15
1197 1167 1
1198 872 13
1199 842 1
1200 527 12
1201 613 8
1202 655 7
1203 532 18
1204 40 7
1205 202 5
1206 628 10
1207 197 13
1208 240 1
1209 426 3
1210 750 4
1211 38 3
1212 1062 7
1213 911 7
1214 114 20
1215 1015 16
1216 440 12
1217 164 18
1218 1133 16
1219 1195 9
1220 1 6
1221 827 12
1222 1121 6
1223 609 10
1224 1180 17
1225 954 5
1226 662 14
1227 33 4
1228 522 1
1229 1150 15
1230 579 17
1231 1041 19
1232 527 12
1233 48 16
1234 992 19
1235 820 5
1236 376 20
1237 115 7
1238 1014 5
1239 841 20
1240 509 4
1241 428 19
1242 285 14
1243 72 6
1244 1024 18
1245 1196 18
1246 762 9
1247 449 11
1248 563 1
1249 991 7
1250 614 12
1251 411 17
1252 553 12
1253 542 15
1254 227 10
1255 323 10
1256 148 5
1257 623 11
1258 1007 1
1259 92 13
1260 531 18
1261 452 7
1262 1054 16
1263 660 20
1264 117 14
1265 53 18
1266 1025 5
1267 892 14
1268 843 19
1269 993 12
1270 69 14
1271 318 9
1272 33 16
1273 252 18
1274 327 11
1275 572 4
1276 649 8
1277 207 20
1278 755 9
1279 472 5
1280 164 20
1281 32 7
1282 755 16
1283 692 19
1284 487 20
1285 239 5
1286 361 1
1287 603 5
1288 1083 10
1289 1277 11
1290 1204 15
1291 740 8
1292 1139 17
1293 923 1
1294 710 5
1295 774 7
1296 210 2
1297 67 11
1298 1017 6
1299 1175 1
1300 865 13
1301 285 15
1302 959 18
1303 903 13
1304 563 11
1305 616 16
1306 939 18
1307 1104 8
1308 1140 16
1309 106 4
1310 872 12
1311 937 10
1312 172 2
1313 327 13
1314 945 2
1315 289 4
1316 1064 20
1317 1266 10
1318 952 10
1319 163 2
1320 1265 3
1321 1257 2
1322 87 12
1323 884 17
1324 922 10
1325 754 18
1326 1218 1
1327 695 17
1328 965 13
1329 488 19
1330 1106 17
1331 1287 12
1332 1321 9
1333 1164 9
1334 183 9
1335 470 3
1336 1276 9
1337 234 8
1338 394 12
1339 886 11
1340 697 11
1341 1285 2
1342 470 9
1343 196 1
1344 939 18
1345 811 5
1346 751 10
1347 1221 20
1348 591 13
1349 392 1
1350 13 18
1351 1303 9
1352 1021 14
1353 196 11
1354 877 15
1355 736 13
1356 199 11
1357 1020 14
1358 107 8
1359 383 17
1360 751 10
1361 995 5
1362 1112 2
1363 882 16
1364 479 16
1365 290 1
1366 1077 10
1367 1148 16
1368 460 5
1369 921 19
1370 445 20
1371 170 4
1372 614 17
1373 314 15
1374 1096 9
1375 328 6
1376 640 9
1377 665 13
1378 70 5
1379 269 5
1380 621 5
1381 206 6
1382 81 4
1383 723 12
1384 72 7
1385 1256 7
1386 896 20
1387 1135 4
1388 46 1
1389 476 8
1390 1252 16
1391 615 8
1392 431 10
1393 1371 17
1394 1070 14
1395 162 19
1396 1256 9
1397 50 20
1398 796 9
1399 246 16
1400 241 16
1401 1077 20
1402 1017 7
1403 859 16
1404 88 13
1405 1264 10
1406 330 3
1407 877 6
1408 1035 2
1409 982 6
1410 1046 18
1411 943 6
1412 1125 16
1413 273 10
1414 291 5
1415 5 4
1416 441 15
1417 879 13
1418 845 12
1419 923 13
1420 576 14
1421 15 13
1422 690 16
1423 1330 1
1424 310 1
1425 819 4
1426 879 17
1427 79 17
1428 696 13
1429 288 13
1430 252 15
1431 610 14
1432 1150 9
1433 103 19
1434 1267 4
1435 912 14
1436 1325 7
1437 1351 4
1438 873 15
1439 497 9
1440 141 18
1441 509 10
1442 1247 2
1443 48 13
1444 768 13
1445 598 5
1446 1402 20
1447 1001 3
1448 328 9
1449 243 2
1450 1388 3
1451 282 8
1452 872 14
1453 855 4
1454 680 1
1455 658 1
1456 739 2
1457 936 2
1458 340 2
1459 436 1
1460 1010 15
1461 833 17
1462 1281 4
1463 833 10
1464 713 4
1465 4 5
1466 1194 4
1467 1059 15
1468 1209 20
1469 27 20
1470 103 14
1471 597 6
1472 646 8
1473 658 5
1474 2 13
1475 106 18
1476 781 4
1477 179 14
1478 453 2
1479 1365 9
1480 958 18
1481 1019 9
1482 990 16
1483 1193 6
1484 35 8
1485 959 2
1486 1403 6
1487 41 3
1488 374 5
1489 1378 9
1490 51 18
1491 1039 19
1492 779 12
1493 399 11
1494 478 3
1495 1416 9
1496 1442 6
1497 226 10
1498 573 2
1499 392 10
1500 1091 15
1501 456 7
1502 1437 8
1503 816 1
1504 917 13
1505 464 2
1506 1085 14
1507 1241 18
1508 437 6
1509 317 17
1510 43 10
1511 748 1
1512 1187 5
1513 971 7
1514 223 7
1515 126 11
1516 381 17
1517 1173 2
1518 1219 13
1519 779 12
1520 1281 11
1521 697 20
1522 524 8
1523 216 9
1524 1246 19
1525 338 20
1526 1353 16
1527 1356 6
1528 570 7
1529 26 1
1530 123 15
1531 773 16
1532 128 1
1533 417 9
1534 924 16
1535 698 16
1536 730 12
1537 978 6
1538 866 5
1539 612 16
1540 456 19
1541 1358 15
1542 597 13
1543 704 20
1544 398 3
1545 1221 15
1546 1252 17
1547 1317 10
1548 1537 12
1549 29 16
1550 1032 2
1551 524 15
1552 193 12
1553 645 5
1554 936 5
1555 835 4
1556 1195 17
1557 1059 19
1558 316 12
1559 1205 18
1560 160 18
1561 1190 18
1562 1213 10
1563 620 12
1564 1247 18
1565 750 5
1566 1473 11
1567 820 20
1568 22 6
1569 756 20
1570 618 11
1571 657 5
1572 220 14
1573 138 16
1574 1513 10
1575 1456 9
1576 1296 8
1577 791 6
1578 273 2
1579 1394 7
1580 711 6
1581 866 9
1582 607 2
1583 1449 13
1584 473 15
1585 192 12
1586 623 16
1587 924 2
1588 1087 9
1589 845 1
1590 894 18
1591 318 9
1592 501 16
1593 791 18
1594 48 16
1595 346 3
1596 1049 5
1597 1276 7
1598 1142 20
1599 454 7
1600 905 10
1601 1459 13
1602 1558 19
1603 1513 12
1604 1572 15
1605 1185 11
1606 1295 18
1607 1151 17
1608 936 10
1609 22 19
1610 873 17
1611 699 3
1612 1140 6
1613 797 1
1614 625 8
1615 1480 2
1616 822 12
1617 656 10
1618 105 1
1619 61 11
1620 1598 12
1621 1115 13
1622 661 3
1623 1480 5
1624 536 4
1625 1296 13
1626 513 8
1627 962 16
1628 1377 2
1629 98 8
1630 78 3
1631 347 1
1632 978 17
1633 568 20
1634 1285 6
1635 504 2
1636 505 7
1637 1159 8
1638 10 8
1639 1535 11
1640 710 12
1641 1385 3
1642 1484 14
1643 447 13
1644 1323 13
1645 729 15
1646 1509 1
1647 1265 4
1648 635 4
1649 492 3
1650 857 6
1651 320 18
1652 1363 17
1653 955 16
1654 706 15
1655 460 9
1656 394 18
1657 64 14
1658 461 15
1659 1473 16
1660 955 18
1661 655 11
1662 261 9
1663 1119 13
1664 401 18
1665 1035 6
1666 375 12
1667 3 10
1668 698 14
1669 910 20
1670 955 16
1671 1376 12
1672 732 20
1673 737 10
1674 1631 19
1675 1669 6
1676 385 6
1677 548 4
1678 775 20
1679 1197 6
1680 1637 11
1681 1447 2
1682 836 16
1683 1369 20
1684 1418 5
1685 1508 13
1686 449 17
1687 1603 15
1688 1195 16
1689 1666 2
1690 963 20
1691 779 6
1692 413 4
1693 479 13
1694 1470 14
1695 214 3
1696 1383 10
1697 1516 10
1698 1481 15
1699 1578 1
1700 1524 15
1701 217 3
1702 671 8
1703 1534 3
1704 719 10
1705 997 6
1706 561 9
1707 395 10
1708 1206 5
1709 907 3
1710 227 18
1711 1649 5
1712 951 16
1713 823 19
1714 1341 5
1715 1383 12
1716 100 11
1717 1648 13
1718 109 17
1719 1456 11
1720 1473 11
1721 1570 12
1722 276 12
1723 313 7
1724 1040 9
1725 1129 17
1726 252 5
1727 1364 8
1728 1524 12
1729 828 5
1730 739 18
1731 1634 7
1732 1354 3
1733 136 16
1734 328 1
1735 583 12
1736 233 11
1737 1724 14
1738 203 6
1739 1443 12
1740 893 4
1741 148 13
1742 1616 6
1743 387 12
1744 1086 7
1745 83 3
1746 551 17
1747 1425 10
1748 361 8
1749 1106 15
1750 1735 12
1751 1499 14
1752 1359 17
1753 88 8
1754 429 6
1755 1388 18
1756 950 1
1757 650 4
1758 836 3
1759 386 8
1760 1655 13
1761 879 18
1762 252 7
1763 1402 6
1764 990 9
1765 689 3
1766 586 6
1767 936 8
1768 330 2
1769 732 16
1770 1171 14
1771 1478 8
1772 1722 4
1773 1737 5
1774 731 9
1775 584 8
1776 1228 17
1777 159 17
1778 1115 7
1779 321 3
1780 376 4
1781 487 8
1782 1302 6
1783 1180 3
1784 883 6
1785 686 11
1786 889 15
1787 1214 19
1788 543 19
1789 544 14
1790 790 19
1791 369 10
1792 1456 4
1793 447 14
1794 1573 18
1795 1602 13
1796 744 17
1797 862 1
1798 1580 12
1799 580 7
1800 737 16
1801 1572 20
1802 1122 8
1803 1088 3
1804 554 19
1805 739 15
1806 1017 7
1807 24 20
1808 513 18
1809 1036 18
1810 775 4
1811 5 11
1812 1449 17
1813 1756 15
1814 424 18
1815 1204 3
1816 1589 13
1817 836 9
1818 329 7
1819 893 16
1820 338 11
1821 1357 18
1822 1589 9
1823 1334 18
1824 672 18
1825 821 12
1826 1727 16
1827 818 6
1828 725 8
1829 1409 6
1830 303 17
1831 635 12
1832 1303 20
1833 458 15
1834 1116 4
1835 202 9
1836 888 13
1837 1348 4
1838 1371 6
1839 1066 9
1840 1404 5
1841 339 2
1842 970 3
1843 807 13
1844 1757 6
1845 1555 9
1846 628 4
1847 1787 14
1848 278 11
1849 93 17
1850 1478 16
1851 991 6
1852 1100 10
1853 1205 16
1854 133 18
1855 531 9
1856 838 6
1857 758 4
1858 1139 16
1859 1528 13
1860 56 10
1861 505 1
1862 540 1
1863 883 16
1864 1667 19
1865 690 20
1866 120 3
1867 583 13
1868 1461 5
1869 1211 12
1870 690 13
1871 1098 2
1872 1694 18
1873 467 4
1874 1682 8
1875 836 2
1876 936 20
1877 159 13
1878 198 17
1879 1800 15
1880 1765 3
1881 1231 12
1882 1285 5
1883 1194 20
1884 288 19
1885 721 5
1886 1779 14
1887 1081 11
1888 1443 5
1889 692 8
1890 810 19
1891 755 3
1892 1142 18
1893 29 6
1894 102 7
1895 717 6
1896 1821 9
1897 1469 16
1898 1784 9
1899 611 11
1900 485 8
1901 1019 18
1902 719 6
1903 245 17
1904 1222 18
1905 1808 8
1906 1538 1
1907 1425 9
1908 1693 18
1909 1433 16
1910 1515 16
1911 196 6
1912 1323 17
1913 811 13
1914 503 19
1915 1532 3
1916 299 3
1917 317 20
1918 1739 12
1919 783 11
1920 55 14
1921 1800 9
1922 1050 5
1923 84 19
1924 1878 12
1925 1290 6
1926 728 16
1927 1030 19
1928 870 17
1929 679 10
1930 287 5
1931 239 16
1932 1087 1
1933 1625 11
1934 365 17
1935 169 6
1936 1045 5
1937 1386 15
1938 69 15
1939 257 10
1940 833 10
1941 1726 5
1942 1403 6
1943 205 20
1944 63 14
1945 949 12
1946 965 13
1947 1495 2
1948 1640 6
1949 729 6
1950 884 20
1951 240 5
1952 1153 6
1953 715 9
1954 1600 5
1955 1256 18
1956 97 9
1957 454 5
1958 899 15
1959 1463 10
1960 1510 11
1961 680 11
1962 393 7
1963 1554 20
1964 1239 9
1965 428 18
1966 379 7
1967 1964 18
1968 26 10
1969 478 4
1970 1726 12
1971 1083 18
1972 1627 4
1973 487 5
1974 1563 11
1975 1709 20
1976 1906 14
1977 622 10
1978 46 12
1979 297 2
1980 1036 3
1981 1395 2
1982 1952 16
1983 189 18
1984 1025 20
1985 146 12
1986 1476 7
1987 968 3
1988 450 1
1989 1902 10
1990 284 1
1991 431 8
1992 468 12
1993 178 2
1994 675 4
1995 1551 2
1996 670 19
1997 354 4
1998 866 3
1999 1956 12
2000 1014 1
2001 1516 16
2002 1482 8
2003 936 5
2004 179 1
2005 45 7
2006 1149 10
2007 6 7
2008 196 12
2009 1883 15
2010 661 7
2011 528 17
2012 1122 10
2013 71 1
2014 1062 17
2015 28 2
2016 696 17
2017 1111 17
2018 769 8
2019 298 15
2020 926 11
2021 952 17
2022 704 9
2023 753 12
2024 673 19
2025 1977 8
2026 391 16
2027 1304 18
2028 1071 16
2029 25 8
2030 536 10
2031 740 17
2032 1784 19
2033 1865 7
2034 1810 6
2035 1035 18
2036 922 4
2037 136 12
2038 1748 3
2039 1150 17
2040 211 1
2041 441 18
2042 769 3
2043 791 15
2044 894 4
2045 1680 7
2046 513 9
2047 1216 8
2048 1062 20
2049 25 1
2050 1918 3
2051 143 14
2052 1904 20
2053 952 3
2054 764 8
2055 1023 6
2056 996 13
2057 785 16
2058 1960 18
2059 1569 1
2060 1799 7
2061 1388 6
2062 1305 7
2063 1363 12
2064 161 8
2065 444 16
2066 672 7
2067 1583 18
2068 564 10
2069 1590 7
2070 1923 15
2071 894 5
2072 1178 4
2073 1758 15
2074 1605 15
2075 333 3
2076 1326 20
2077 295 19
2078 1814 4
2079 664 8
2080 1002 6
2081 1894 11
2082 820 5
2083 1968 6
2084 1833 11
2085 1738 20
2086 367 9
2087 791 4
2088 1789 1
2089 594 7
2090 364 2
2091 1007 6
